state,zip_code,zip_first_two_digits,school_type,school_level,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,state_population,zip_first_two_digits_population,average_act
36,49868,49,1,2,0.5032918726397297,-0.6998768048584192,-0.6514095483783581,-0.8596099876840565,-0.30665377026824603,-0.37106353721446556,-0.6000775799750964,20.4334554334554
38,19137,19,1,3,2.2429300718170846,-1.5930105588524972,-1.9406244818520684,-0.9826192936550762,1.0167466771254141,0.01774422457800519,0.14503321797180654,19.4981684981685
1,98932,98,1,2,-0.6658968918951107,-1.4058987761041921,-0.04954463323373402,-0.289950365327203,2.4077058541080802,-0.6828615566229926,0.8422531485921002,19.5543345543346
37,44047,44,1,2,-0.6367375552612153,-0.1923114840712872,0.017637107476854586,-0.059489422774415726,-0.46076827658707775,-0.14136509188157922,-0.15989731026408338,17.7374847374847
38,15522,15,1,2,-0.7350212317154216,0.03309226992698233,0.4048079968086865,-0.49269791280793584,-0.5375031845249351,0.01774422457800519,-0.9495642982840705,18.2454212454212
37,45601,45,1,2,0.6672498340907665,-1.1617737837279356,-0.702750736041292,-0.8685297181338943,1.9326823664503499,-0.14136509188157922,-0.4506681459243173,17.034188034188
36,49274,49,1,2,0.48146906134288625,-0.7316203466632095,0.43729523859024366,-0.4385572233333387,-0.018779471992642748,-0.37106353721446556,-0.6000775799750964,18.3870573870574
39,10455,10,1,3,1.283629514815061,-1.472553170126611,-1.1076876620263958,-1.3045593322166655,1.317486658663634,0.9634030226392952,0.10343687708886674,
39,10027,10,1,3,-0.3691474012834005,-0.8901625717951982,-2.4229613548375357,-0.9403439200346819,0.21883693044897015,0.9634030226392952,0.10343687708886674,14.980463980464
31,37830,37,1,2,-0.04302084628033762,-0.712528555356593,-0.7865735610296345,-0.629729864788468,-0.482863263998619,-0.7889960260693394,0.06905753222575822,15.1050061050061
25,32208,32,1,2,1.4435020310253186,-1.0686176194381105,-2.7299811669162914,-1.103803166417757,0.5051965843928994,1.1603159277530588,1.0257542242287312,17.8522588522588
28,27262,27,1,2,0.9473086258215473,-1.5152644250993788,-1.0536761782277249,-1.1856157638460372,0.7280047613304336,-0.32056694067077024,0.02875848898236091,18.008547008547
37,45377,45,1,2,-0.04646385051893058,-0.024903737849262246,-0.5647365681698118,-0.43793491655776856,-0.9977518080519375,-0.14136509188157922,-0.4506681459243173,16.0720390720391
12,75670,75,1,2,-0.14461852000207817,-1.6541768423042842,-0.8721634724843299,-1.2927769905992053,0.5904353043880569,2.1762978578422096,0.7438064486402346,17.1782661782662
38,15557,15,1,2,-0.5700485325037551,-1.0679020861593533,0.7886122645551037,-0.1213052291477106,-0.5501069323559582,0.01774422457800519,-0.9495642982840705,16.1648351648352
36,49507,49,1,3,1.9371049125715656,-0.7060070337204104,-1.8108929738281274,-0.7970474131800775,1.4637783592526574,-0.37106353721446556,-0.6000775799750964,17.2905982905983
36,49945,49,1,3,-0.40533928993609586,0.1996186860757191,0.8323093478242227,-0.17797663284295945,-0.1958957223036883,-0.37106353721446556,-0.6000775799750964,17.969474969475
36,48240,48,1,2,0.945708950229673,0.1174780613393536,-0.13273464122268866,0.3989432352288784,1.8556967654108625,-0.37106353721446556,0.7801494521444513,18.3137973137973
37,45118,45,1,2,0.1858483937744606,-0.9853179044936634,0.9948817395734302,-0.07309719760021487,-1.7591664564320157,-0.14136509188157922,-0.4506681459243173,18.970695970696
43,01106,01,1,2,-0.34131180578024484,2.202656088814318,1.4004019703496493,2.0165259805273794,-1.5445409446977727,-0.7796761665821531,-0.5626699307327458,19.1831501831502
39,11210,11,1,2,-0.21653964524399982,0.9903746327629123,0.13883937014917372,0.19345753793563716,0.004039226823834978,0.9634030226392952,1.3454241599633348,15.5714285714286
12,75431,75,1,3,-0.3056005190110404,-1.0768657345053656,0.10342597007509559,-0.456355197114643,0.8634258935859032,2.1762978578422096,0.7438064486402346,16.3748473748474
33,60463,60,1,2,0.5296374382335525,0.6249900511006673,1.111006823840071,0.6281180771121542,0.35278663337293387,-0.009887011950400744,1.7411233966969861,18.7704517704518
34,53821,53,1,2,-0.49991188112219337,-0.16790592609007415,-0.4001599357809121,-0.49684662464506973,-0.49328947854627275,-0.925829269877872,-0.5327765549398044,15.6153846153846
31,38104,38,1,2,-0.9487085494619523,0.30616827390299445,-1.0960746276045172,-1.4454080990873608,0.7705936690636922,-0.7889960260693394,-0.8178435893545959,17.026862026862
39,10458,10,1,2,1.880049340550557,-1.251601897230208,-1.290224398716954,-1.28331792761054,1.818708324461996,0.9634030226392952,0.10343687708886674,
12,77074,77,1,2,-0.5903797905340948,-1.126763803892799,-0.33306412028871213,-0.47776255019425384,1.6675845493645929,2.1762978578422096,1.5195746397353225,21.031746031746
36,49090,49,1,2,-0.8048542362754537,0.9334559443294217,-0.46306769777880896,-0.29314487344179607,0.2695223031409009,-0.37106353721446556,-0.6000775799750964,24.035409035409
28,28306,28,1,2,0.5011834472512441,0.8057186226873255,0.4317314149226133,1.295894734417224,-0.8767989367998175,-0.32056694067077024,0.39403154834638787,
12,79403,79,1,2,0.7848901797008652,-1.4316060951747975,-1.792871648748723,-1.1089060819774317,1.5331035407374125,2.1762978578422096,-0.954337013216262,22.6678876678877
31,38058,38,1,2,-0.01010108354172154,0.7322298541041702,0.8431563013843006,1.2715417959332482,-0.3059134477982323,-0.7889960260693394,-0.8178435893545959,26.7216117216117
20,65542,65,1,2,-0.9577858758675958,-1.3275359557930704,0.6442268639640626,-0.483653721002984,0.1548658551600094,-0.8915691154626094,-1.3636301101233776,23.3516483516484
43,01240,01,1,3,1.3134318455024534,1.2598722562655336,1.2280609416437214,-0.038248018168290245,-1.1727168899701788,-0.7796761665821531,-0.5626699307327458,17.4908424908425
37,44321,44,1,2,-1.4663938039896471,2.200829680541398,1.4901894504830622,2.0221682286258815,-1.1539878915625474,-0.14136509188157922,-0.15989731026408338,
43,02136,02,1,3,-1.0291599120133124,0.794048112312445,0.09928327465215031,0.47702199200373807,1.1702197156634717,-0.7796761665821531,-0.06888924795828827,
22,71201,71,1,2,3.288956707872752,-0.8558859473083846,-1.8062497719507828,-1.395830992633611,1.7637187898607103,-1.0912773137627452,-1.3381786622999252,23.1562881562882
12,78521,78,1,2,0.7157863626170919,-2.1205015301335677,-0.48692009455485774,-1.0091295622943617,2.368915776581722,2.1762978578422096,1.2074376470471546,23.2783882783883
46,07052,07,1,2,-0.9286949248883629,1.357618157572328,1.4632952608235734,2.038140769198847,-0.4363600837566238,-0.4771283503154795,0.21887673999589094,22.7411477411477
28,28208,28,1,2,2.959049043806124,-1.242052735595035,-1.8723121836142749,-0.9583908165262143,1.3622049772697418,-0.32056694067077024,0.39403154834638787,17.979242979243
25,33176,33,1,2,-0.30573660927184665,0.9991959461867591,0.07428767786666204,-0.6418855904712703,-0.6355118261314501,1.1603159277530588,2.462080044459979,
28,28016,28,1,2,1.8181468802833056,-1.029783564806484,-1.0033548562251646,-1.1230946764604295,0.8095034340528231,-0.32056694067077024,0.39403154834638787,22.8632478632479
1,98388,98,1,2,0.0419490790466887,0.699639606154304,-0.29064248480741156,0.2109236147699708,-1.220829057665449,-0.6828615566229926,0.8422531485921002,22.6434676434676
28,28501,28,1,2,2.1906797548776273,-1.0199515881104242,-2.0643947742969075,-1.3001616976693036,1.3342394007904836,-0.32056694067077024,0.39403154834638787,20.006105006105
12,78009,78,1,2,-0.11919059848362862,-0.3337143426107729,0.5821129895927877,0.23050553464124274,-0.2899482038207177,2.1762978578422096,1.2074376470471546,23.0586080586081
12,75214,75,1,2,-0.773232532906851,2.193594984990394,0.10357285678378059,-0.046006109303730607,0.639715606379556,2.1762978578422096,0.7438064486402346,
32,40403,40,1,2,-0.2256492330454115,-0.9066672448464516,0.2669014026019612,-0.8537603039936977,-0.1690095208522888,-1.1104486276321293,-1.0607427059928631,
22,70744,70,1,3,-0.6612397211847946,-0.7841467083387139,-0.08112071391155709,-0.5008293880087182,-0.08195435026899592,-1.0912773137627452,-0.6336909926524972,22.3504273504273
35,46069,46,1,2,-1.059394690423442,1.0273237777502697,0.7757747884115797,1.0466401272422203,-0.8994052945912802,-0.8071837763907889,-0.01775896619375121,25.8424908424908
35,46382,46,1,2,-1.2649438217552387,-0.6113861794803024,0.8827280262021948,0.7949792672016789,-0.9145457081607195,-0.8071837763907889,-0.01775896619375121,24.5482295482295
